"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+9.95272727273E+008, -2.38820948455E+001, +0.00000000000E+000
+9.98545454545E+008, -2.46754623178E+001, +0.00000000000E+000
+1.00181818182E+009, -2.48288431336E+001, +0.00000000000E+000
+1.00509090909E+009, -2.43101720734E+001, +0.00000000000E+000
+1.00836363636E+009, -2.33420655300E+001, +0.00000000000E+000
+1.01163636364E+009, -2.21900765793E+001, +0.00000000000E+000
+1.01490909091E+009, -2.10289596224E+001, +0.00000000000E+000
+1.01818181818E+009, -1.99135288151E+001, +0.00000000000E+000
+1.02145454545E+009, -1.88715254886E+001, +0.00000000000E+000
+1.02472727273E+009, -1.79373988549E+001, +0.00000000000E+000
+1.02800000000E+009, -1.71288258053E+001, +0.00000000000E+000
+1.03127272727E+009, -1.64425473457E+001, +0.00000000000E+000
+1.03454545455E+009, -1.58700254719E+001, +0.00000000000E+000
+1.03781818182E+009, -1.54041733678E+001, +0.00000000000E+000
+1.04109090909E+009, -1.50373493784E+001, +0.00000000000E+000
+1.04436363636E+009, -1.47528474598E+001, +0.00000000000E+000
+1.04763636364E+009, -1.45281443185E+001, +0.00000000000E+000
+1.05090909091E+009, -1.43405771131E+001, +0.00000000000E+000
+1.05418181818E+009, -1.41744608983E+001, +0.00000000000E+000
+1.05745454545E+009, -1.40166140268E+001, +0.00000000000E+000
+1.06072727273E+009, -1.38470303241E+001, +0.00000000000E+000
+1.06400000000E+009, -1.36385167511E+001, +0.00000000000E+000
+1.06727272727E+009, -1.33832212991E+001, +0.00000000000E+000
+1.07054545455E+009, -1.30929676784E+001, +0.00000000000E+000
+1.07381818182E+009, -1.27823496075E+001, +0.00000000000E+000
+1.07709090909E+009, -1.24576473317E+001, +0.00000000000E+000
+1.08036363636E+009, -1.21204922632E+001, +0.00000000000E+000
+1.08363636364E+009, -1.17695906503E+001, +0.00000000000E+000
+1.08690909091E+009, -1.14086755889E+001, +0.00000000000E+000
+1.09018181818E+009, -1.10459691390E+001, +0.00000000000E+000
+1.09345454545E+009, -1.06944148535E+001, +0.00000000000E+000
+1.09672727273E+009, -1.03637803946E+001, +0.00000000000E+000
+1.10000000000E+009, -1.00594065438E+001, +0.00000000000E+000
+1.10327272727E+009, -9.79004849107E+000, +0.00000000000E+000
+1.10654545455E+009, -9.55685727218E+000, +0.00000000000E+000
+1.10981818182E+009, -9.35997401229E+000, +0.00000000000E+000
+1.11309090909E+009, -9.19693945663E+000, +0.00000000000E+000
+1.11636363636E+009, -9.06742010915E+000, +0.00000000000E+000
+1.11963636364E+009, -8.97009138056E+000, +0.00000000000E+000
+1.12290909091E+009, -8.89989358567E+000, +0.00000000000E+000
+1.12618181818E+009, -8.84398189814E+000, +0.00000000000E+000
+1.12945454545E+009, -8.79191491096E+000, +0.00000000000E+000
+1.13272727273E+009, -8.74896904630E+000, +0.00000000000E+000
+1.13600000000E+009, -8.71671380106E+000, +0.00000000000E+000
+1.13927272727E+009, -8.69011870152E+000, +0.00000000000E+000
+1.14254545455E+009, -8.65907862132E+000, +0.00000000000E+000
+1.14581818182E+009, -8.60173400607E+000, +0.00000000000E+000
+1.14909090909E+009, -8.52345549870E+000, +0.00000000000E+000
+1.15236363636E+009, -8.43908110227E+000, +0.00000000000E+000
+1.15563636364E+009, -8.35145339588E+000, +0.00000000000E+000
+1.15890909091E+009, -8.26265164167E+000, +0.00000000000E+000
+1.16218181818E+009, -8.17189377506E+000, +0.00000000000E+000
+1.16545454545E+009, -8.06211317658E+000, +0.00000000000E+000
+1.16872727273E+009, -7.91202413317E+000, +0.00000000000E+000
+1.17200000000E+009, -7.72499419040E+000, +0.00000000000E+000
+1.17527272727E+009, -7.52427953995E+000, +0.00000000000E+000
